what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1284946883638
started,bundle,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms",1284946883640
os,sysinfo,,,"win32",1284946883654
arch,sysinfo,,,"x86_64",1284946883654
ws,sysinfo,,,"win32",1284946883654
locale,sysinfo,,,"en_US",1284946883654
processors,sysinfo,,,"2",1284946883654
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284946883654
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1284946883654
java.specification.name,sysinfo,,,"Java Platform API Specification",1284946883654
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284946883654
java.specification.version,sysinfo,,,"1.6",1284946883654
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284946883654
java.version,sysinfo,,,"1.6.0_20",1284946883654
java.vm.info,sysinfo,,,"mixed mode",1284946883654
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1284946883654
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284946883654
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284946883654
java.vm.specification.version,sysinfo,,,"1.0",1284946883654
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284946883654
java.vm.version,sysinfo,,,"16.3-b01",1284946883654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947025630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947069109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284947069251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947071782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947071962
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1284947075693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947083405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947084715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947085861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947087283
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947087530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947090111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947091790
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947121938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947123399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947538782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947542562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947552564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947559720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947578108
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1284947581171
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1284947581341
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1284947581380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947618181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947628597
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1284947630286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947634635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947635274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947635734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947636836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947637181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947639915
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947643180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947671451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284947673938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948022039
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284948023993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948034384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948066959
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948076438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948310896
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948315735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948317222
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284948318189
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1284948319658
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1284948319665
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1284948319697
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1284948319702
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1284948319706
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1284948319738
